id,assignment_id,date,spends_key,spends,created_at,updated_at,auto,config_id,asem_id,is_derived,status
142350,1167,2020-02-28,search_ri,,2020-02-27 20:37:21.102761,2022-10-19 12:53:30.546041,google,1541,1226,,
142990,1167,2020-03-03,leadgen_ri_custom,1002,2020-03-02 20:40:15.168011,2020-03-04 02:40:03.889629,facebook,2462,1226,,
154180,1167,2020-08-02,discovery_ri,,2020-08-06 06:31:13.320344,2022-11-09 10:06:50.608311,google,3396,1226,,
154181,1167,2020-08-03,discovery_ri,,2020-08-06 06:31:13.320344,2022-11-09 10:06:50.608311,google,3396,1226,,
156594,1167,2020-08-28,gdn_ri,490,2020-08-27 19:37:49.329449,2020-08-28 13:38:11.865744,google,3336,1226,,
142129,1167,2020-02-27,search_ri,,2020-02-26 19:38:18.029326,2022-10-19 12:53:30.546041,google,1541,1226,,
150559,1167,2020-06-21,leadgen_ri,9996,2020-06-20 19:39:26.013743,2020-06-22 01:39:46.836241,facebook,1758,1226,,
151576,1167,2020-07-04,leadgen_ri,10303,2020-07-03 19:39:01.386988,2020-07-04 19:38:57.268924,facebook,1758,1226,,
150623,1167,2020-06-22,leadgen_ri,8533,2020-06-21 19:39:39.120796,2020-06-23 05:39:54.702712,facebook,1758,1226,,
154182,1167,2020-08-04,discovery_ri,,2020-08-06 06:31:13.320344,2022-11-09 10:06:50.608311,google,3396,1226,,
154141,1167,2020-08-06,leadgen_ri,4995,2020-08-05 19:39:52.490363,2020-08-06 21:39:28.261862,facebook,1758,1226,,
150692,1167,2020-06-23,leadgen_ri,4195,2020-06-22 19:40:17.285735,2020-06-24 03:39:22.249743,facebook,1758,1226,,
142753,1167,2020-03-02,search_ri,,2020-03-01 19:37:52.585946,2022-10-19 12:53:30.546041,google,1541,1226,,
151631,1167,2020-07-05,youtube_ri,381,2020-07-04 19:36:46.448883,2020-07-06 21:36:43.276622,google,3302,1226,,
150748,1167,2020-06-24,leadgen_ri,3090,2020-06-23 19:39:58.872061,2020-06-24 23:39:33.211868,facebook,1758,1226,,
150554,1167,2020-06-21,search_ri,,2020-06-20 19:37:06.189740,2022-10-19 12:53:30.546041,google,1541,1226,,
154183,1167,2020-08-05,discovery_ri,,2020-08-06 06:31:13.320344,2022-11-09 10:06:50.608311,google,3396,1226,,
154184,1167,2020-08-06,discovery_ri,,2020-08-06 06:31:13.320344,2022-11-09 10:06:50.608311,google,3396,1226,,
154204,1167,2020-08-07,discovery_ri,,2020-08-06 19:37:09.420151,2022-11-09 10:06:50.608311,google,3396,1226,,
143433,1167,2020-03-06,search_ri,,2020-03-05 20:37:52.947753,2022-10-19 12:53:30.546041,google,1541,1226,,
152754,1167,2020-07-21,gdn_ri,2857,2020-07-20 19:36:47.031959,2020-07-30 03:36:48.936011,google,3336,1226,,
150915,1167,2020-06-26,search_ri,,2020-06-25 19:37:33.896515,2022-10-19 12:53:30.546041,google,1541,1226,,
150976,1167,2020-06-27,search_ri,,2020-06-26 19:37:27.821603,2022-10-19 12:53:30.546041,google,1541,1226,,
151646,1167,2020-07-05,leadgen_ri,10027,2020-07-04 19:38:57.268924,2020-07-06 09:38:49.495611,facebook,1758,1226,,
151069,1167,2020-06-28,search_ri,,2020-06-27 21:36:51.997159,2022-10-19 12:53:30.546041,google,1541,1226,,
150814,1167,2020-06-25,leadgen_ri,2967,2020-06-24 19:40:15.229758,2020-06-26 05:39:12.140644,facebook,1758,1226,,
145117,1167,2020-03-18,search_ri,,2020-03-17 19:37:54.683925,2022-10-19 12:53:30.546041,google,1541,1226,,
154205,1167,2020-08-07,gdn_ri,989,2020-08-06 19:37:09.420151,2020-08-07 17:37:02.453742,google,3336,1226,,
154207,1167,2020-08-07,youtube_ri,256,2020-08-06 19:37:09.420151,2020-08-07 23:37:28.800586,google,3302,1226,,
154302,1167,2020-08-08,discovery_ri,,2020-08-07 19:37:12.738950,2022-11-09 10:06:50.608311,google,3396,1226,,
150921,1167,2020-06-26,leadgen_ri,1064,2020-06-25 19:39:56.519168,2020-06-26 13:39:29.453826,facebook,1758,1226,,
150345,1167,2020-06-17,brand_project,,2020-06-17 13:25:01.282052,2020-12-18 11:01:41.151417,facebook,3301,1226,,
151694,1167,2020-07-06,brand_project,,2020-07-05 19:36:39.987090,2020-11-20 07:08:00.359013,google,3301,1226,,
151696,1167,2020-07-06,youtube_ri,223,2020-07-05 19:36:39.987090,2020-07-10 17:36:51.748656,google,3302,1226,,
169229,1167,2020-11-08,youtube_ri_remarketing,,2020-11-07 20:41:57.045592,2022-10-21 05:58:42.497550,google,3818,1226,,
143074,1167,2020-03-04,leadgen_ri,1999,2020-03-03 18:40:23.774131,2020-03-05 04:40:29.792392,facebook,1758,1226,,
156631,1167,2020-08-28,leadgen_ri,13923,2020-08-27 19:39:31.632396,2020-08-29 01:39:39.009120,facebook,1758,1226,,
144965,1167,2020-03-17,leadgen_ri,19221,2020-03-16 18:40:49.193922,2020-03-18 06:40:30.450695,facebook,1758,1226,,
169228,1167,2020-11-08,youtube_ri,5560,2020-11-07 20:41:57.045592,2022-10-21 05:58:42.497550,google,3302,1226,,
151769,1167,2020-07-07,youtube_ri,113,2020-07-06 19:36:47.412081,2020-07-07 21:36:42.357935,google,3302,1226,,
158301,1167,2020-09-06,gdn_ri,504,2020-09-05 20:37:57.092392,2020-09-06 12:36:03.673760,google,3336,1226,,
151712,1167,2020-07-06,leadgen_ri,10105,2020-07-05 19:38:47.244130,2020-07-07 07:39:04.723083,facebook,1758,1226,,
150374,1167,2020-06-18,brand_project,,2020-06-17 19:37:41.073744,2020-12-18 11:01:41.151417,facebook,3301,1226,,
154241,1167,2020-08-07,leadgen_ri,4935,2020-08-06 19:39:38.252047,2020-08-07 21:39:20.815806,facebook,1758,1226,,
151780,1167,2020-07-07,leadgen_ri,10017,2020-07-06 19:39:04.038807,2020-07-08 07:39:13.627020,facebook,1758,1226,,
150439,1167,2020-06-19,brand_project,,2020-06-18 19:37:35.889869,2020-12-18 11:01:41.151417,facebook,3301,1226,,
152808,1167,2020-07-08,search_nri,,2020-07-21 11:48:23.985090,2020-07-21 11:48:23.985090,google,3357,1226,,
152793,1167,2020-07-21,youtube_ri,10,2020-07-20 21:36:54.975484,2020-07-21 19:36:44.715935,google,3302,1226,,
158320,1167,2020-09-06,search_nri,,2020-09-06 00:35:53.271291,2020-09-06 00:35:53.271291,google,3357,1226,,
152841,1167,2020-07-22,youtube_ri,712,2020-07-21 19:36:44.715935,2020-07-22 19:36:50.303760,google,3302,1226,,
152915,1167,2020-07-23,youtube_ri,334,2020-07-22 19:36:50.303760,2020-07-23 19:37:24.717520,google,3302,1226,,
152839,1167,2020-07-22,gdn_ri,2826,2020-07-21 19:36:44.715935,2020-07-30 01:36:56.163742,google,3336,1226,,
152913,1167,2020-07-23,gdn_ri,2810,2020-07-22 19:36:50.303760,2020-07-30 15:37:04.081745,google,3336,1226,,
154268,1167,2020-08-07,search_nri,,2020-08-06 21:37:03.949304,2020-08-06 21:37:03.949304,google,3357,1226,,
154203,1167,2020-08-07,brand_project,,2020-08-06 19:37:09.420151,2020-11-20 07:08:00.359013,google,3301,1226,,
152772,1167,2020-07-21,leadgen_ri,10044,2020-07-20 19:39:08.733750,2020-07-22 03:39:05.956931,facebook,1758,1226,,
151835,1167,2020-07-08,brand_project,,2020-07-07 19:36:47.163930,2020-11-20 07:08:00.359013,google,3301,1226,,
211878,1167,2021-07-10,search_nri,,2021-07-10 00:37:12.740796,2021-07-10 00:37:12.740796,google,3357,1226,,
152930,1167,2020-07-23,leadgen_ri,14253,2020-07-22 19:39:23.509742,2020-07-24 03:39:13.021751,facebook,1758,1226,,
152863,1167,2020-07-22,leadgen_ri,13443,2020-07-21 19:39:13.708132,2020-07-23 05:39:28.445710,facebook,1758,1226,,
145095,1167,2020-03-18,leadgen_ri,19141,2020-03-17 18:40:16.655072,2020-03-19 14:40:02.199897,facebook,1758,1226,,
151849,1167,2020-07-08,leadgen_ri,10014,2020-07-07 19:39:00.485745,2020-07-09 03:39:15.998169,facebook,1758,1226,,
156662,1167,2020-08-28,search_nri,,2020-08-28 01:37:41.600946,2020-08-28 01:37:41.600946,google,3357,1226,,
143976,1167,2020-03-10,leadgen_ri,18670,2020-03-09 18:40:31.075355,2020-03-11 04:40:32.752371,facebook,1758,1226,,
151877,1167,2020-07-08,youtube_ri,1,2020-07-07 21:36:42.357935,2020-07-08 09:36:51.322264,google,3302,1226,,
151949,1167,2020-07-09,youtube_ri,1,2020-07-09 03:36:57.165428,2020-07-09 05:37:02.735238,google,3302,1226,,
151959,1167,2020-07-03,gdn_ri,,2020-07-09 18:36:54.023701,2020-07-09 18:36:54.023701,google,3336,1226,,
151960,1167,2020-07-04,gdn_ri,32,2020-07-09 18:36:54.023701,2020-07-09 18:36:54.023701,google,3336,1226,,
151963,1167,2020-07-07,gdn_ri,2006,2020-07-09 18:36:54.023701,2020-09-04 13:56:29.022447,google,3336,1226,,
151964,1167,2020-07-08,gdn_ri,2033,2020-07-09 18:36:54.023701,2020-09-04 13:56:29.022447,google,3336,1226,,
160955,1167,2020-09-23,leadgen_ri,22978,2020-09-22 18:40:51.791776,2020-09-24 16:40:48.841743,facebook,1758,1226,,
167616,1167,2020-11-01,leadgen_ri,17091,2020-10-31 18:41:18.427781,2020-11-02 12:41:38.594347,facebook,1758,1226,,
206014,1167,2021-06-13,leadgen_ri_delhi,2027,2021-06-12 18:43:14.118861,2021-06-14 12:42:40.120998,facebook,3817,1226,,
151961,1167,2020-07-05,gdn_ri,87,2020-07-09 18:36:54.023701,2020-07-09 18:36:54.023701,google,3336,1226,,
151962,1167,2020-07-06,gdn_ri,170,2020-07-09 18:36:54.023701,2020-07-09 18:36:54.023701,google,3336,1226,,
151965,1167,2020-07-09,gdn_ri,1971,2020-07-09 18:36:54.023701,2020-07-15 17:36:51.496336,google,3336,1226,,
223359,1167,2021-08-23,search_nri,,2021-08-23 18:37:49.107529,2021-08-23 18:37:49.107529,google,3357,1226,,
151920,1167,2020-07-09,leadgen_ri,11865,2020-07-08 19:39:14.278531,2020-07-10 11:39:23.573674,facebook,1758,1226,,
151979,1167,2020-07-10,brand_project,,2020-07-09 19:36:45.344849,2020-11-20 07:08:00.359013,google,3301,1226,,
152021,1167,2020-07-10,youtube_ri,2,2020-07-09 21:36:47.108787,2020-07-10 19:36:47.110879,google,3302,1226,,
152053,1167,2020-07-11,brand_project,,2020-07-10 19:36:47.110879,2020-11-20 07:08:00.359013,google,3301,1226,,
151992,1167,2020-07-10,leadgen_ri,14346,2020-07-09 19:39:08.177740,2020-07-11 11:39:02.955957,facebook,1758,1226,,
182842,1167,2021-01-31,leadgen_ri,16330,2021-01-30 19:41:31.435789,2021-02-01 16:42:31.817745,facebook,1758,1226,,
152969,1167,2020-07-23,search_nri,,2020-07-23 13:37:42.515465,2020-07-23 13:37:42.515465,google,3357,1226,,
154343,1167,2020-08-08,leadgen_ri,5034,2020-08-07 19:39:34.755489,2020-08-08 19:39:05.617097,facebook,1758,1226,,
152971,1167,2020-07-23,brand_project,,2020-07-23 15:37:16.254234,2020-11-20 07:08:00.359013,google,3301,1226,,
152994,1167,2020-07-24,brand_project,,2020-07-23 19:37:24.717520,2020-11-20 07:08:00.359013,google,3301,1226,,
152997,1167,2020-07-24,youtube_ri,270,2020-07-23 19:37:24.717520,2020-07-24 21:36:42.911435,google,3302,1226,,
152995,1167,2020-07-24,gdn_ri,2879,2020-07-23 19:37:24.717520,2020-07-30 03:36:48.936011,google,3336,1226,,
152068,1167,2020-07-11,leadgen_ri,16823,2020-07-10 19:39:02.795293,2020-07-11 19:39:10.632937,facebook,1758,1226,,
155436,1167,2020-08-19,leadgen_ri,21165,2020-08-18 19:39:05.229754,2020-08-20 03:38:26.430004,facebook,1758,1226,,
176997,1167,2020-12-26,search_nri,,2020-12-25 23:38:17.314046,2020-12-25 23:38:17.314046,google,3357,1226,,
144248,1167,2020-03-12,search_ri,,2020-03-11 19:37:33.713424,2022-10-31 10:43:27.484757,google,1541,1226,,
144355,1167,2020-03-13,search_ri,,2020-03-12 19:38:34.712311,2022-10-31 10:43:27.484757,google,1541,1226,,
167682,1167,2020-11-01,youtube_ri_remarketing,,2020-10-31 20:38:46.297507,2022-10-21 05:58:42.497550,google,3818,1226,,
167681,1167,2020-11-01,youtube_ri,5273,2020-10-31 20:38:46.297507,2022-10-21 05:58:42.497550,google,3302,1226,,
156722,1167,2020-08-29,gdn_ri,479,2020-08-28 19:37:58.789745,2020-08-29 17:38:09.858483,google,3336,1226,,
144618,1167,2020-03-14,search_ri,,2020-03-13 19:38:01.606217,2022-10-31 10:43:27.484757,google,1541,1226,,
152281,1167,2020-07-14,gdn_ri,1102,2020-07-14 11:36:37.956212,2020-07-18 07:36:50.693748,google,3336,1226,,
152103,1167,2020-07-12,brand_project,,2020-07-11 19:36:48.624210,2020-11-20 07:08:00.359013,google,3301,1226,,
152091,1167,2020-07-11,youtube_ri,2,2020-07-11 03:36:34.125424,2020-07-11 17:36:45.729779,google,3302,1226,,
144075,1167,2020-03-11,leadgen_ri,19663,2020-03-10 18:40:21.921745,2020-03-12 04:39:55.579656,facebook,1758,1226,,
145256,1167,2020-03-19,search_ri,,2020-03-18 19:37:44.706481,2022-10-31 10:43:27.484757,google,1541,1226,,
152196,1167,2020-07-13,youtube_ri,2,2020-07-13 03:36:39.108423,2020-07-13 15:36:36.623620,google,3302,1226,,
152145,1167,2020-07-12,youtube_ri,1,2020-07-12 07:36:50.305001,2020-07-12 09:36:45.135243,google,3302,1226,,
201004,1167,2021-04-28,leadgen_ri_delhi,509,2021-04-27 18:41:48.266846,2021-04-29 14:42:20.275962,facebook,3817,1226,,
201003,1167,2021-04-28,leadgen_ri,488,2021-04-27 18:41:48.266846,2021-04-29 18:42:36.282810,facebook,1758,1226,,
152224,1167,2020-07-14,youtube_ri,9,2020-07-13 19:36:48.871323,2020-07-14 19:36:46.710283,google,3302,1226,,
162209,1167,2020-10-02,brand_project,,2020-10-01 20:40:09.708690,2020-11-20 07:08:00.359013,google,3301,1226,,
155562,1167,2020-08-20,gdn_ri,489,2020-08-19 19:36:16.781744,2020-09-03 14:39:56.246493,google,3336,1226,,
153015,1167,2020-07-24,leadgen_ri,13872,2020-07-23 19:40:00.704706,2020-07-25 01:38:51.958604,facebook,1758,1226,,
161001,1167,2020-09-23,youtube_ri,2018,2020-09-22 20:38:07.173752,2020-09-26 14:38:04.768903,google,3302,1226,,
145231,1167,2020-03-19,leadgen_ri,18090,2020-03-18 18:40:10.113589,2020-03-20 08:40:17.542426,facebook,1758,1226,,
152116,1167,2020-07-12,leadgen_ri,17819,2020-07-11 19:39:10.632937,2020-07-13 11:38:51.088357,facebook,1758,1226,,
152237,1167,2020-07-14,leadgen_ri,9939,2020-07-13 19:39:08.187419,2020-07-15 01:38:48.457395,facebook,1758,1226,,
153037,1167,2020-07-24,search_nri,,2020-07-23 23:36:59.224773,2020-07-23 23:36:59.224773,google,3357,1226,,
152176,1167,2020-07-13,leadgen_ri,11930,2020-07-12 19:39:01.772929,2020-07-14 05:39:09.419424,facebook,1758,1226,,
144213,1167,2020-03-12,leadgen_ri,20306,2020-03-11 18:40:20.970823,2020-03-13 04:40:09.413830,facebook,1758,1226,,
152319,1167,2020-07-15,leadgen_ri,9809,2020-07-14 19:39:01.367725,2020-07-16 03:38:50.974854,facebook,1758,1226,,
144325,1167,2020-03-13,leadgen_ri,18643,2020-03-12 18:40:21.217740,2020-03-14 02:39:42.944933,facebook,1758,1226,,
219185,1167,2021-08-14,search_ri_custom,517,2021-08-14 00:37:15.187494,2021-08-14 18:37:24.885509,google,5681,1226,,
154301,1167,2020-08-08,brand_project,,2020-08-07 19:37:12.738950,2020-11-20 07:08:00.359013,google,3301,1226,,
154305,1167,2020-08-08,youtube_ri,346,2020-08-07 19:37:12.738950,2020-08-08 19:36:56.981749,google,3302,1226,,
159887,1167,2020-09-16,leadgen_ri,16490,2020-09-15 18:40:33.281929,2020-09-17 14:41:06.173743,facebook,1758,1226,,
152389,1167,2020-07-16,gdn_ri,1993,2020-07-15 19:36:51.838253,2020-09-04 13:56:29.022447,google,3336,1226,,
152434,1167,2020-07-16,youtube_ri,7,2020-07-15 21:36:36.509669,2020-07-16 19:36:51.925490,google,3302,1226,,
152303,1167,2020-07-15,youtube_ri,12,2020-07-14 19:36:46.710283,2020-07-15 19:36:51.838253,google,3302,1226,,
152301,1167,2020-07-15,gdn_ri,1051,2020-07-14 19:36:46.710283,2020-07-22 03:36:44.830174,google,3336,1226,,
163589,1167,2020-10-08,gdn_ri_remarketing,244,2020-10-09 10:38:17.226607,2021-04-26 08:49:38.975847,google,3809,1226,,
158408,1167,2020-09-07,gdn_ri,507,2020-09-06 20:37:23.708148,2020-09-07 12:37:32.091029,google,3336,1226,,
145598,1167,2020-03-23,search_ri,,2020-03-23 00:37:09.414794,2022-10-19 12:53:30.546041,google,1541,1226,,
153116,1167,2020-07-25,search_nri,,2020-07-24 23:36:51.917483,2020-07-24 23:36:51.917483,google,3357,1226,,
145711,1167,2020-03-25,search_ri,,2020-03-25 01:37:43.664857,2022-10-19 12:53:30.546041,google,1541,1226,,
